re,00100,5,2107
an,110010,6,1657
it,101000,6,1434
ti,100010,6,1369
te,100000,6,1344
er,011011,6,1286
ef,011000,6,1230
le,010000,6,1119
as,001011,6,1060
th,001010,6,1054
st,000001,6,1011
in,1111110,7,1001
sp,1111101,7,992
pa,1111001,7,948
en,1111000,7,946
ea,1110110,7,937
la,1110100,7,925
hr,1110000,7,878
on,1101101,7,865
or,1101100,7,858
wi,1101001,7,846
ah,1100111,7,833
es,1100010,7,812
ki,1011101,7,778
al,1011100,7,776
na,1011011,7,764
is,1011000,7,748
di,1010110,7,734
ss,1010011,7,719
he,1010010,7,718
li,1001111,7,716
ik,1001110,7,716
ed,1001010,7,699
nt,1001001,7,695
tl,1000111,7,686
cl,1000011,7,683
ns,0111111,7,666
at,0111110,7,665
ci,0111010,7,654
ia,0100110,7,568
fw,0100101,7,568
ec,0100010,7,563
to,0011100,7,549
ri,0011011,7,547
ta,0001111,7,525
of,0001101,7,523
ic,0001100,7,521
am,0001000,7,515
ar,0001001,7,515
id,0000101,7,510
nd,0000100,7,509
nc,11111111,8,503
no,11111110,8,503
io,11111000,8,492
ma,11110100,8,477
ce,11101011,8,467
mp,11100111,8,456
hi,11011110,8,436
pe,11011101,8,436
ft,11001100,8,412
ne,11000111,8,410
se,11000001,8,401
pr,10111110,8,395
et,10110100,8,378
co,10101011,8,367
de,10101010,8,365
ry,10101001,8,365
ra,10101000,8,362
ro,10011010,8,355
ol,10011001,8,353
il,10010111,8,352
om,10001101,8,342
ur,10001100,8,342
sa,01111011,8,332
ht,01111001,8,331
me,01110111,8,330
ge,01110001,8,321
si,01101011,8,319
em,01101010,8,319
el,01101001,8,315
ca,01100111,8,313
lo,01100100,8,311
ni,01100101,8,311
so,01011110,8,305
ct,01011100,8,304
ch,01011010,8,301
bo,01011001,8,299
tr,01011000,8,296
ll,01010111,8,294
ie,01010100,8,290
rt,01010011,8,289
fc,01001001,8,283
ot,01001110,8,283
fo,01001000,8,282
ng,01000110,8,281
da,00111111,8,281
aa,00111101,8,276
ve,00111010,8,274
ee,00110010,8,267
ex,00110001,8,267
su,00010111,8,260
tt,00010100,8,259
iv,00010101,8,259
ew,00001100,8,255
tp,00000011,8,253
up,111110011,9,248
sc,111101111,9,245
ld,111101110,9,243
ac,111101101,9,243
ty,111011111,9,239
oo,111011110,9,237
ok,111010101,9,232
dc,111001011,9,225
rf,111001100,9,225
ir,111001010,9,224
ag,111000110,9,223
ab,111000111,9,223
rn,111001000,9,223
ad,111000101,9,221
fa,110111110,9,219
ba,110111111,9,219
im,110111001,9,218
ei,110101111,9,216
yo,110101101,9,214
ou,110101011,9,214
fe,110101110,9,214
op,110101010,9,212
ha,110100011,9,210
xt,110101000,9,210
sm,110001100,9,205
pi,110001101,9,205
rl,110000001,9,200
eb,110000100,9,200
dt,101111111,9,198
ts,101111011,9,197
rc,101111010,9,195
ev,101100111,9,189
lt,101011110,9,185
un,101100100,9,185
ip,101011101,9,184
mo,100110000,9,176
eo,100110001,9,176
ai,100101100,9,175
ya,100100010,9,172
mi,100100001,9,172
ow,100100000,9,172
rs,100001001,9,167
ut,100001000,9,167
ww,011101101,9,165
rg,011110000,9,165
we,011110001,9,165
wo,011100110,9,163
pl,011101100,9,163
tu,011100111,9,163
mb,011100001,9,161
ds,011100100,9,161
ii,010111111,9,156
od,010111011,9,153
fr,010110111,9,152
ap,010100010,9,144
ao,010100001,9,144
ig,010011110,9,143
um,010100000,9,143
eu,010001111,9,142
fi,001111101,9,139
vi,001111000,9,138
po,001111001,9,138
sr,001111100,9,138
ep,001110110,9,137
og,001101010,9,137
if,001100111,9,134
pt,000111011,9,132
gr,000111000,9,131
be,000111010,9,131
yl,000101100,9,130
gi,000101101,9,130
eh,000011111,9,129
mw,000011110,9,129
gh,000011010,9,128
us,000000010,9,126
wa,000000011,9,126
ul,000000001,9,126
eg,000000000,9,125
mt,1111010110,10,120
dd,1111010100,10,120
oc,1110111010,10,118
ls,1110101001,10,117
fh,1110111001,10,117
ph,1110010011,10,112
yt,1110001001,10,111
va,1101110001,10,109
rd,1101110000,10,108
td,1101010010,10,106
ly,1101010011,10,106
os,1101000100,10,105
ga,1100110110,10,103
go,1100110100,10,103
ho,1100110101,10,103
ks,1100001111,10,102
oa,1100001110,10,102
do,1100001100,10,101
wr,1100001011,10,101
hu,1100000000,10,100
du,1011111100,10,99
nl,1011010101,10,96
ay,1011110000,10,96
ps,1011010100,10,95
bl,1011001011,10,94
nf,1011001010,10,93
au,1010111110,10,92
sh,1001101110,10,91
cr,1001101111,10,91
lu,1001000111,10,87
yp,1000010111,10,85
sb,1000010110,10,84
dw,0111101011,10,83
ff,0111101001,10,83
za,0111001010,10,81
yc,0110100001,10,79
pu,0110100010,10,79
gw,0110011011,10,78
av,0110011000,10,78
nu,0110011001,10,78
bi,0101111101,10,77
nw,0101111100,10,77
br,0101110101,10,76
gl,0101011010,10,74
tm,0101011001,10,73
tc,0101010101,10,73
ka,0101010110,10,73
cc,0101010111,10,73
ys,0101011000,10,73
pp,0100111111,10,72
rm,0101001000,10,72
dl,0101001011,10,72
lf,0101010100,10,72
ke,0100111110,10,71
wh,0011101110,10,69
tb,0011010111,10,69
tw,0011010001,10,68
fm,0011001100,10,67
aw,0011001101,10,67
yn,0011000011,10,67
nn,0001110011,10,66
iz,0011000000,10,66
db,0001110010,10,65
gu,0000110110,10,64
ln,0000001010,10,63
cs,0000001000,10,63
uc,0000001001,10,63
bn,0000001011,10,63
sw,11110110010,11,61
